"Name","features/nonlinearity_active_fraction","accuracy","model.hidden_dim","_wandb"
"ostrow_copy_elman_64","0.2632324210523987","0.518750011920929","64",""
"ostrow_copy_elman_128","0.4798583969379425","0.4906249940395355","128",""
"copy_task","0.3562988270115662","0.4375","128",""
"copy_task","0.3562988270115662","0.4375","128",""
"ostrow_copy_elman_128","0.3974853503203583","0.421875","128",""
"ostrow_copy_elman_128","0.43161620958869934","0.40312498807907104","128",""
"ostrow_copy_elman_64","0.3490722645341492","0.3343749940395355","64",""
"ostrow_copy_elman_64","0.2714843741516113","0.3218750059604645","64",""
"ostrow_copy_elman_64","0.3096679677822876","0.28437501192092896","64",""
"ostrow_copy_elman_128","0.5566650373229217","0.26875001192092896","128",""
"ostrow_copy_elman_256","0.6377807612204838","0.2593750059604645","256",""
"ostrow_copy_elman_32","0.4600585923123169","0.2593750059604645","32",""
"ostrow_copy_elman_64","0.4492980953521109","0.2562499940395355","64",""
"ostrow_copy_elman_256","0.6183502192434763","0.25","256",""
"ostrow_copy_elman_32","0.37763671756988526","0.24687500298023224","32",""
"ostrow_copy_elman_128","0.47404479943434","0.24687500298023224","128",""
"ostrow_copy_elman_128","0.6135314936613034","0.24687500298023224","128",""
"ostrow_copy_elman_32","0.4943359359552002","0.24062499403953552","32",""
"ostrow_copy_elman_32","0.4594726558910369","0.21562500298023224","32",""
"ostrow_copy_elman_256","0.6080490107554304","0.21250000596046448","256",""
"ostrow_copy_elman_256","0.7775909417753195","0.20937499403953552","256",""
"ostrow_copy_elman_64","0.48412475548115247","0.20624999701976776","64",""
"ostrow_copy_elman_64","0.541949462467227","0.20624999701976776","64",""
"ostrow_copy_elman_32","0.43145751919417374","0.19687500596046448","32",""
"ostrow_copy_elman_32","0.4895507808675385","0.19062499701976776","32",""
"ostrow_copy_elman_32","0.49454345664488786","0.19062499701976776","32",""
"ostrow_copy_elman_128","0.5290527339616775","0.19062499701976776","128",""
"ostrow_copy_elman_32","0.5286621089619827","0.18437500298023224","32",""
"ostrow_copy_elman_32","0.7732421850836182","0.18437500298023224","32",""
"ostrow_copy_elman_32","0.5044921859234619","0.171875","32",""
"ostrow_copy_elman_64","0.5829101557946014","0.171875","64",""
"ostrow_copy_elman_32","0.512207029649353","0.16562500596046448","32",""
"ostrow_copy_elman_128","0.6635681147159623","0.16249999403953552","128",""
"ostrow_copy_elman_64","0.6047790522618913","0.15000000596046448","64",""
"ostrow_copy_elman_128","0.6929687478344727","0.14687500894069672","128",""
"ostrow_copy_elman_32","0.5076049800721836","0.14374999701976776","32",""
"ostrow_copy_elman_64","0.5952148418899537","0.14374999701976776","64",""
"ostrow_copy_elman_64","0.5306640608416748","0.13750000298023224","64",""
"ostrow_copy_elman_64","0.6062499981054688","0.13750000298023224","64",""
"ostrow_copy_elman_64","0.5333984358331298","0.13437500596046448","64",""
"ostrow_copy_elman_64","0.5437499983007813","0.13125000894069672","64",""
"ostrow_copy_elman_128","0.624999998046875","0.12812499701976776","128",""
"ostrow_copy_elman_128","0.6695312479077149","0.12812499701976776","128",""
"ostrow_copy_elman_128","0.8859252922766208","0.12812499701976776","128",""
"ostrow_copy_elman_128","0.6398437480004883","0.12812499701976776","128",""
"ostrow_copy_elman_128","0.6484374979736328","0.11874999850988388","128",""
"ostrow_copy_elman_128","0.5463867170425415","0.11562500149011612","128",""
"ostrow_copy_elman_128","0.9218749971191408","0.11562500149011612","128",""
"ostrow_copy_elman_32","0.8063842767137622","0.11562500149011612","32",""
"ostrow_copy_elman_32","0.7762451165810584","0.11249999701976776","32",""
"ostrow_copy_elman_64","0.8470092766820239","0.11249999701976776","64",""
"ostrow_copy_elman_64","0.8346496575510549","0.11249999701976776","64",""
"ostrow_copy_elman_128","0.897445678009808","0.11249999701976776","128",""
"ostrow_copy_elman_32","0.8006469720307445","0.11249999701976776","32",""
"ostrow_copy_elman_64","0.8323547356778478","0.11249999701976776","64",""
"ostrow_copy_elman_128","0.7248565668165183","0.11249999701976776","128",""
"ostrow_copy_elman_256","0.7688156121923315","0.11249999701976776","256",""
"ostrow_copy_elman_128","0.9029724114039276","0.11249999701976776","128",""
"ostrow_copy_elman_32","0.74999999765625","0.109375","32",""
"ostrow_copy_elman_256","0.9339813225125144","0.109375","256",""
"ostrow_copy_elman_64","0.640527341748352","0.109375","64",""
"ostrow_copy_elman_64","0.8593749973144531","0.10625000298023224","64",""
"ostrow_copy_elman_64","0.8124999974609375","0.10625000298023224","64",""
"ostrow_copy_elman_256","0.7933670037747131","0.10312499850988388","256",""
"ostrow_copy_elman_128","0.9062499971679688","0.10000000149011612","128",""
"ostrow_copy_elman_256","0.9653182975856888","0.10000000149011612","256",""
"ostrow_copy_elman_64","0.5156249983886719","0.09687500447034836","64",""
"ostrow_copy_elman_32","0.8124999974609375","0.09375","32",""
"ostrow_copy_elman_128","0.6394805903207182","0.08437500149011612","128",""
"ostrow_copy_elman_256","0.9276062004471826","0.08124999701976776","256",""
