"Name","features/nonlinearity_scale_mean","accuracy","model.hidden_dim","_wandb"
"ostrow_copy_elman_64","0.7374999999639893","0.518750011920929","64",""
"ostrow_copy_elman_128","0.5187499999873352","0.4906249940395355","128",""
"copy_task","0.6437499999842834","0.4375","128",""
"copy_task","0.6437499999842834","0.4375","128",""
"ostrow_copy_elman_128","0.6031249999852752","0.421875","128",""
"ostrow_copy_elman_128","0.5687499999861145","0.40312498807907104","128",""
"ostrow_copy_elman_64","0.6499999999682617","0.3343749940395355","64",""
"ostrow_copy_elman_64","0.728124999964447","0.3218750059604645","64",""
"ostrow_copy_elman_64","0.690624999966278","0.28437501192092896","64",""
"ostrow_copy_elman_128","0.44374999998916625","0.26875001192092896","128",""
"ostrow_copy_elman_256","0.3624999999988937","0.2593750059604645","256",""
"ostrow_copy_elman_32","0.5406249999472046","0.2593750059604645","32",""
"ostrow_copy_elman_64","0.5499999999932862","0.2562499940395355","64",""
"ostrow_copy_elman_256","0.38203124999883414","0.25","256",""
"ostrow_copy_elman_32","0.62187499993927","0.24687500298023224","32",""
"ostrow_copy_elman_128","0.5249999999967956","0.24687500298023224","128",""
"ostrow_copy_elman_128","0.38671874999763967","0.24687500298023224","128",""
"ostrow_copy_elman_32","0.5062499999505615","0.24062499403953552","32",""
"ostrow_copy_elman_32","0.5406249999868011","0.21562500298023224","32",""
"ostrow_copy_elman_256","0.3921874999988031","0.21250000596046448","256",""
"ostrow_copy_elman_256","0.2226562499993205","0.20937499403953552","256",""
"ostrow_copy_elman_64","0.5156249999937058","0.20624999701976776","64",""
"ostrow_copy_elman_64","0.45781249999441154","0.20624999701976776","64",""
"ostrow_copy_elman_32","0.5687499999861145","0.19687500596046448","32",""
"ostrow_copy_elman_32","0.5101562499875449","0.19062499701976776","32",""
"ostrow_copy_elman_32","0.5062499999876404","0.19062499701976776","32",""
"ostrow_copy_elman_128","0.47031249999712943","0.19062499701976776","128",""
"ostrow_copy_elman_32","0.4718749999884796","0.18437500298023224","32",""
"ostrow_copy_elman_32","0.22656249997787475","0.18437500298023224","32",""
"ostrow_copy_elman_32","0.49687499995147705","0.171875","32",""
"ostrow_copy_elman_64","0.41640624999491693","0.171875","64",""
"ostrow_copy_elman_32","0.48749999995239257","0.16562500596046448","32",""
"ostrow_copy_elman_128","0.3367187499979448","0.16249999403953552","128",""
"ostrow_copy_elman_64","0.3953124999951744","0.15000000596046448","64",""
"ostrow_copy_elman_128","0.30624999999252317","0.14687500894069672","128",""
"ostrow_copy_elman_32","0.4921874999879837","0.14374999701976776","32",""
"ostrow_copy_elman_64","0.4062499999801636","0.14374999701976776","64",""
"ostrow_copy_elman_64","0.4687499999771118","0.13750000298023224","64",""
"ostrow_copy_elman_64","0.3937499999807739","0.13750000298023224","64",""
"ostrow_copy_elman_64","0.4656249999772644","0.13437500596046448","64",""
"ostrow_copy_elman_64","0.45624999997772214","0.13125000894069672","64",""
"ostrow_copy_elman_128","0.3749999999908447","0.12812499701976776","128",""
"ostrow_copy_elman_128","0.33124999999191285","0.12812499701976776","128",""
"ostrow_copy_elman_128","0.11406249999930382","0.12812499701976776","128",""
"ostrow_copy_elman_128","0.3593749999912262","0.12812499701976776","128",""
"ostrow_copy_elman_128","0.3515624999914169","0.11874999850988388","128",""
"ostrow_copy_elman_128","0.45312499998893735","0.11562500149011612","128",""
"ostrow_copy_elman_128","0.07812499999809265","0.11562500149011612","128",""
"ostrow_copy_elman_32","0.19374999999526976","0.11562500149011612","32",""
"ostrow_copy_elman_32","0.22382812499453544","0.11249999701976776","32",""
"ostrow_copy_elman_64","0.15292968749813318","0.11249999701976776","64",""
"ostrow_copy_elman_64","0.165234374997983","0.11249999701976776","64",""
"ostrow_copy_elman_128","0.10253906249937414","0.11249999701976776","128",""
"ostrow_copy_elman_32","0.19921874999513628","0.11249999701976776","32",""
"ostrow_copy_elman_64","0.1679687499979496","0.11249999701976776","64",""
"ostrow_copy_elman_128","0.27499999999832153","0.11249999701976776","128",""
"ostrow_copy_elman_256","0.23124999999929427","0.11249999701976776","256",""
"ostrow_copy_elman_128","0.09687499999940873","0.11249999701976776","128",""
"ostrow_copy_elman_32","0.24999999997558592","0.109375","32",""
"ostrow_copy_elman_256","0.06601562499979853","0.109375","256",""
"ostrow_copy_elman_64","0.35937499998245237","0.109375","64",""
"ostrow_copy_elman_64","0.14062499999313355","0.10625000298023224","64",""
"ostrow_copy_elman_64","0.1874999999908447","0.10625000298023224","64",""
"ostrow_copy_elman_256","0.20703124999936817","0.10312499850988388","256",""
"ostrow_copy_elman_128","0.09374999999771118","0.10000000149011612","128",""
"ostrow_copy_elman_256","0.034716796874894054","0.10000000149011612","256",""
"ostrow_copy_elman_64","0.48437499997634886","0.09687500447034836","64",""
"ostrow_copy_elman_32","0.18749999998168945","0.09375","32",""
"ostrow_copy_elman_128","0.3601562499978017","0.08437500149011612","128",""
"ostrow_copy_elman_256","0.07226562499977945","0.08124999701976776","256",""
