"Name","features/frobenius_mean","accuracy","model.hidden_dim","_wandb"
"ostrow_copy_elman_64","9.9113280940271","0.518750011920929","64",""
"ostrow_copy_elman_128","10.79492184126587","0.4906249940395355","128",""
"copy_task","12.571679648213502","0.4375","128",""
"copy_task","12.571679648213502","0.4375","128",""
"ostrow_copy_elman_128","9.34130856455841","0.421875","128",""
"ostrow_copy_elman_128","9.034765596766356","0.40312498807907104","128",""
"ostrow_copy_elman_64","9.65771481356964","0.3343749940395355","64",""
"ostrow_copy_elman_64","8.061035131059265","0.3218750059604645","64",""
"ostrow_copy_elman_64","6.065624981044922","0.28437501192092896","64",""
"ostrow_copy_elman_128","8.638671848004151","0.26875001192092896","128",""
"ostrow_copy_elman_256","5.06255225739742","0.2593750059604645","256",""
"ostrow_copy_elman_32","6.302124003743362","0.2593750059604645","32",""
"ostrow_copy_elman_64","5.402346797537229","0.2562499940395355","64",""
"ostrow_copy_elman_256","3.2902690861745945","0.25","256",""
"ostrow_copy_elman_32","5.037207015508728","0.24687500298023224","32",""
"ostrow_copy_elman_128","3.1754505132662496","0.24687500298023224","128",""
"ostrow_copy_elman_128","2.329527662364627","0.24687500298023224","128",""
"ostrow_copy_elman_32","3.8841796753619384","0.24062499403953552","32",""
"ostrow_copy_elman_32","3.912028500361696","0.21562500298023224","32",""
"ostrow_copy_elman_256","2.4212885837712097","0.21250000596046448","256",""
"ostrow_copy_elman_256","1.209450959214418","0.20937499403953552","256",""
"ostrow_copy_elman_64","5.466163249513739","0.20624999701976776","64",""
"ostrow_copy_elman_64","1.4619549024604477","0.20624999701976776","64",""
"ostrow_copy_elman_32","1.528825567958437","0.19687500596046448","32",""
"ostrow_copy_elman_32","1.8265700802838072","0.19062499701976776","32",""
"ostrow_copy_elman_32","2.277327345022596","0.19062499701976776","32",""
"ostrow_copy_elman_128","3.4163786861432097","0.19062499701976776","128",""
"ostrow_copy_elman_32","3.5402481051443373","0.18437500298023224","32",""
"ostrow_copy_elman_32","1.3548339801411438","0.18437500298023224","32",""
"ostrow_copy_elman_32","4.594238266893005","0.171875","32",""
"ostrow_copy_elman_64","3.445654103448219","0.171875","64",""
"ostrow_copy_elman_32","2.5858398356692507","0.16562500596046448","32",""
"ostrow_copy_elman_128","3.485763451714003","0.16249999403953552","128",""
"ostrow_copy_elman_64","1.85101222847333","0.15000000596046448","64",""
"ostrow_copy_elman_128","2.0664062435424806","0.14687500894069672","128",""
"ostrow_copy_elman_32","1.2511302342177144","0.14374999701976776","32",""
"ostrow_copy_elman_64","2.475830070388031","0.14374999701976776","64",""
"ostrow_copy_elman_64","2.5620117107437133","0.13750000298023224","64",""
"ostrow_copy_elman_64","2.099609368438721","0.13750000298023224","64",""
"ostrow_copy_elman_64","2.2820800709934996","0.13437500596046448","64",""
"ostrow_copy_elman_64","2.496093742199707","0.13125000894069672","64",""
"ostrow_copy_elman_128","3.3703124894677736","0.12812499701976776","128",""
"ostrow_copy_elman_128","2.2214843680578613","0.12812499701976776","128",""
"ostrow_copy_elman_128","0.31213898634366577","0.12812499701976776","128",""
"ostrow_copy_elman_128","2.210156243093262","0.12812499701976776","128",""
"ostrow_copy_elman_128","2.378906242565918","0.11874999850988388","128",""
"ostrow_copy_elman_128","2.871191397277527","0.11562500149011612","128",""
"ostrow_copy_elman_128","0.6375914076907544","0.11562500149011612","128",""
"ostrow_copy_elman_32","0.3164843199164734","0.11562500149011612","32",""
"ostrow_copy_elman_32","0.18213297710494675","0.11249999701976776","32",""
"ostrow_copy_elman_64","0.2758566973438436","0.11249999701976776","64",""
"ostrow_copy_elman_64","0.20444123728992625","0.11249999701976776","64",""
"ostrow_copy_elman_128","0.26809974887883437","0.11249999701976776","128",""
"ostrow_copy_elman_32","0.19984975441578204","0.11249999701976776","32",""
"ostrow_copy_elman_64","0.2969060537879701","0.11249999701976776","64",""
"ostrow_copy_elman_128","0.47676594220107393","0.11249999701976776","128",""
"ostrow_copy_elman_256","0.6261366124029817","0.11249999701976776","256",""
"ostrow_copy_elman_128","0.28697265364161684","0.11249999701976776","128",""
"ostrow_copy_elman_32","0.7815185522452546","0.109375","32",""
"ostrow_copy_elman_256","0.3526127812491794","0.109375","256",""
"ostrow_copy_elman_64","1.9180664002560424","0.109375","64",""
"ostrow_copy_elman_64","0.6442367533578539","0.10625000298023224","64",""
"ostrow_copy_elman_64","0.7593322730177117","0.10625000298023224","64",""
"ostrow_copy_elman_256","0.7264124626206616","0.10312499850988388","256",""
"ostrow_copy_elman_128","0.741651914186244","0.10000000149011612","128",""
"ostrow_copy_elman_256","2.0634298785301572","0.10000000149011612","256",""
"ostrow_copy_elman_64","2.4812499922460938","0.09687500447034836","64",""
"ostrow_copy_elman_32","0.7346130348137093","0.09375","32",""
"ostrow_copy_elman_128","0.9648795120330532","0.08437500149011612","128",""
"ostrow_copy_elman_256","0.9875119082365325","0.08124999701976776","256",""
